"ID","Region","Installation_No","Offical_Eng_Name","Offical_Chi_Name","Address_Eng","Address_Chi","Tel_No","Fax_No"
167,NTW,PH006,Lo Wai Fresh Water Pump House,老圍食水泵房,"Yuen Yuen Hok Yuen, Hilltop Road, Tsuen Wan",荃灣顯達路圓玄學院,"24130790",NA
168,HK,PH010,Wong Kung Tin Fresh Water Pump House,黃公田食水泵房,"Mui Wo, Lantau Island",大嶼山梅窩,"29849137",NA
169,NTW,PH012,Fu Tei Sheung Tsuen Fresh Water Pump House,虎地上村食水泵房,"Fu Tei Sheung Tsuen, Tuen Mun",屯門虎地上村,"24415605",NA
170,NTW,PH013,Hon Man Tsuen Fresh Water Pump House,漢文村食水泵房,"Hon Man Tsuen, Tsuen Wan",荃灣漢民村,"24179595",NA
171,NTW,PH014,Ki Lun Shan Fresh Water Pump House,麒麟山食水泵房,"Kiu Ling Shan Village, San Tin, Yuen Long",元朗新田麒麟山村,"24823615",NA
172,K,PH015,Ling Nam Upper Village Fresh Water Pump House,嶺南上村食水泵房,"Ling Nam Sun Village opposite Ko Chiu Road Estate, Yau Tong",油塘高超道邨對面嶺南新村,"27720516",NA
173,NTE,PH016,Muk Min Shan Fresh Water Pump House,木棉山食水泵房,"Chuk Yeung Road, Muk Min Shan, Sai Kung",西貢木棉山竹洋路,"27917154",NA
174,NTE,PH017,Sha Tin West Fresh Water Pump House,沙田西食水泵房,"Shatin West Fresh Water Service Reservoir, Yau On Street, Sha Tin",沙田悠安街沙田西食水配水庫,"26991022",NA
175,NTW,PH021,Choi Yuen Tsuen Fresh Water Pump House,菜園村食水泵房,"Castle Peak Road, Upper Tsing Lung Tau, Tuen Mun",屯門青山公路上青龍頭,"24915027",NA
176,NTE,PH022,Lai Chi Hang Fresh Water Pump House,荔枝坑食水泵房,"Lai Chi Hang Village, Tai Po Road, Tai Po",大埔大埔道荔枝坑村,"26548524",NA
177,NTW,PH023,San Shek Wan Fresh Water Pump House,䃟石灣食水泵房,"San Shek Wan Village, Tuen Mun",屯門䃟石灣新村,"24561570",NA
178,NTW,PH024,Wo Yi Hop Fresh Water Pump House,和宜合食水泵房,"Wo Yi Hop Road, Tsuen Wan",荃灣和宜合道,"24892792",NA
179,NTW,PH027,Fung Kong Tsuen Fresh Water Pump House,鳳降村食水泵房,"Fung Kong Tsuen, Ping Shan, Yuen Long",元朗屏山鳳降村,"24726330",NA
180,NTE,PH028,Pak Tin North Fresh Water Pump House,白田北食水泵房,"Mei Tin Road, Sha Tin",沙田美田路,"26082658",NA
181,NTW,PH029,Sham Tseng Fresh Water Pump House,深井食水泵房,"Tsing Fai Tong San Tsuen, Tsuen Wan",荃灣深井清快塘新村,"24960424",NA
182,NTW,PH030,Shung Shan San Tsuen Fresh Water Pump House,崇山新村食水泵房,"Shung Shan San Tsuen, Yuen Long",元朗崇山新村,"24793784",NA
183,NTE,PH031,Yau Oi Tsuen Fresh Water Pump House,友愛村食水泵房,"Tung Lo Wan Hill Road, Sha Tin",沙田銅鑼灣山路,"26977179",NA
184,NTE,PH032,Tsiu Keng Shaft Raw Water Irrigation Pump House,蕉徑豎井原水灌溉泵房,"Fan Kam Road, Fanling",粉嶺粉錦公路,"26725562",NA
185,NTE,PH033,Chai Kek Fresh Water Pump House,寨乪食水泵房,"Lam Kam Road, Tai Po",大埔林錦公路,"26380996",NA
186,NTE,PH034,Lin Au Fresh Water Pump House,蓮澳食水泵房,"Shek Lin Road, Tai Po",大埔石蓮路,"26564448",NA
187,NTW,PH035,Lung Kwu Sheung Tan Fresh Water Pump House,龍鼓上灘食水泵房,"Lung Kwu Sheung Tan, Tuen Mun",屯門龍鼓上灘,"24591406",NA
188,NTE,PH036,Pak Kong Au Fresh Water Pump House,北港凹食水泵房,"Pak Kong Au Fresh Water Service Reservoir, Pak Kong Au Village, Sai Kung",西貢北港凹村北港凹食水配水庫,"27916548",NA
189,NTE,PH037,Kei Pik Shan Fresh Water Pump House,企壁山食水泵房,"Mang Kung Wo Road, Sai Kung",西貢孟公窩路,"27059252",NA
190,NTE,PH038,Wong Mo Ying Fresh Water Pump House,黃毛應食水泵房,"Yan Yee Road, Sai Kung",西貢仁義路,"27916542",NA
191,NTW,PH040,Chuen Lung Fresh Water Pump House,川龍食水泵房,"Near Agriculture & Fisheries Dept, Chuen Lung Depot, Tsuen Wan",荃灣川龍廠近漁農處,"24159017",NA
192,NTE,PH041,Lin Ma Hang Fresh Water Pump House,蓮麻坑食水泵房,"Lin Ma Hang Road near Heung Yuen Wai, North District",蓮麻坑路近香園圍,"26599069",NA
193,K,PH042,Sha Tin Pass Fresh Water Pump House,沙田坳食水泵房,"Sha Tin Pass Road, Wong Tai Sin",黃大仙沙田坳道,"23521703",NA
194,HK,PH043,Sham Wat Fresh Water Pump House,深屈食水泵房,"Sham Wat Road, Lantau Island",大嶼山深屈道,"29856527",NA
195,HK,PH044,Shui Hau Fresh Water Pump House,水口食水泵房,"Shui Hau, Lantau Island",大嶼山水口,"29803745",NA
196,NTE,PH045,Pak Tam Chung Fresh Water Pump House,北潭涌食水泵房,"Pak Tam Road, Sai Kung",西貢北潭路,"27911125",NA
197,NTE,PH051,Ting Kok Fresh Water Pump House,汀角食水泵房,"Ting Kok Road, Tai Mei Tuk, Tai Po",大埔大尾篤汀角路,"26625430",NA
198,NTW,PH052,Tsuen Wan West Ultra High Level Fresh Water Pump House,荃灣西超高地食水泵房,"Near Kwong Pan Tin Village, Tsuen Wan",荃灣近光板田村,"24135761",NA
199,NTE,PH053,Wong Chuk Yeung Fresh Water Pump House,黃竹洋食水泵房,"Wong Chuk Yeung Tsuen Path, Fo Tan, Sha Tin",沙田火炭黃竹洋村路,NA,NA
200,NTE,PH054,Luk Keng Fresh Water Pump House,鹿頸食水泵房,"Luk Keng Road, Sha Tau Kok",沙頭角鹿頸路,NA,NA
201,HK,PH055,Mui Wo Ferry Pier Fresh Water Pump House,梅窩碼頭食水泵房,"Mui Wo Ferry Pier Road, Lantau Island",大嶼山梅窩碼頭路,"29848909",NA
202,NTW,PH056,Lui Kung Tin Fresh Water Pump House,雷公田食水泵房,"Lui Kung Tin Village, Shek Kong",石崗雷公田村,"24881460",NA
203,NTE,PH057,Sha Tau Fresh Water Pump House,沙頭食水泵房,"Sha Tau, Tai Po",大埔沙頭,"23282127",NA
204,NTE,PH058,Fa Sam Hang Fresh Water Pump House,花心坑食水泵房,"Fa Sam Hang, Sha Tin",沙田花心坑,NA,NA
205,NTW,PH059,Wong Chuk Yuen Fresh Water Pump House,黃竹園食水泵房,"Lam Kam Road, Wong Chuk Yuen, Shek Kong, Yuen Long",元朗石崗黃竹園林錦公路,"24882184",NA
206,NTE,PH060,Ma On Shan Tsuen Fresh Water Pump House,馬鞍山村食水泵房,"Ma On Shan Tsuen, Ma On Shan",馬鞍山馬鞍山村,"26338545",NA
207,HK,PH061,Shek Mun Kap Fresh Water Pump House,石門甲食水泵房,"Shek Mun Kap, Lantau Island",大嶼山石門甲,NA,NA
208,NTE,PH064,Kau Sai Chau Fresh Water Pump House,滘西洲食水泵房,"Kau Sai Chau, Sai Kung",西貢滘西洲,"27927525",NA
209,NTE,PH065,Ta Tit Yan Fresh Water Pump House,打鐵印食水泵房,"Ta Tit Yan Village, Tai Po",大埔打鐵印村,NA,"26573114"
210,WSD,DP015,Lung Cheung Road Mechanical & Electrical Workshop,龍翔道機電工場,NA,NA,NA,NA
211,K,PH007,Ma Pui and Che Teng Fresh Water Pump House,馬背及輋頂食水泵房,NA,NA,NA,NA
